Timestamp,Your Name,Goalkeeper Team Name,Opening Bid,Secondary Bid,Final Bid
23/07/2019 12:10:06,JohnD,Chelsea,3,12.7,18.7
23/07/2019 12:10:34,JohnD,Wolves,3,8.7,12.3
23/07/2019 12:10:59,JohnD,Watford,3,5.2,7.7
23/07/2019 12:32:17,Urny There FC,Burnley,3,4,5
23/07/2019 15:40:45,Urny There FC,Bournemouth,3,5,6
23/07/2019 15:41:23,Urny There FC,Crystal Palace,3,5,6
23/07/2019 17:50:48,Reuben,Manchester City,12.5,15.1,21.5
23/07/2019 17:52:11,Reuben,Wolves,7.5,11,15.5
23/07/2019 17:53:03,Reuben,West Ham Utd,5.5,7.5,9.5
23/07/2019 17:55:20,Kyle iain ,Wolves,3,10,13
23/07/2019 17:55:51,Kyle iain,Everton ,3,10,13
23/07/2019 17:56:22,Kyle iain ,Crystal palace ,3,7,13
23/07/2019 17:57:38,Jordan ,Wolves ,6,10,14
23/07/2019 18:00:15,Jordan ,Tottenham ,3.5,5,8
23/07/2019 18:31:00,Kev Mckie,Manchester City,3.1,10,14.8
23/07/2019 18:31:55,Kev Mckie,Chelsea,3.1,9.9,13.9
23/07/2019 18:32:39,Kev Mckie,Everton,3.1,5.9,11.9
23/07/2019 18:42:14,Steven Wright,Chelsea,5,17.5,20.6
23/07/2019 18:43:03,Steven Wright,Tottenham Hotspur ,14.5,17.5,20.6
23/07/2019 18:44:28,Steven Wright,Wolves,9.6,13.6,15.6
23/07/2019 18:59:43,Ruby,Liverpool,15.1,27.4,40.1
23/07/2019 19:00:17,Ruby,Man City,12.5,30.2,40
23/07/2019 19:00:44,Ruby,Wolves,3,10.1,17.2
23/07/2019 19:48:27,Black Star Galloway,Man City,15,20,25
23/07/2019 19:49:07,Black Star Galloway,Everton,4.5,9.5,15.5
23/07/2019 19:49:50,Black Star Galloway,Watford,3,6,9
23/07/2019 21:34:52,Zac Scott,Liverpool FC,3,26.3,34.1
23/07/2019 21:35:29,Zac Scott,Tottenham Hotspur FC,3,7,15
23/07/2019 21:36:38,Zac Scott,Manchester City,3.1,14.9,29.9
23/07/2019 22:25:19,Jones,Man C ,22,27,32
23/07/2019 22:26:28,James M,Everton ,3.3,9.7,12.7
23/07/2019 22:27:14,James M,Leicester ,3.3,6.8,9.8
23/07/2019 22:28:55,James M,Wolves,3.3,6.8,9.8
23/07/2019 22:35:34,Phil/Rich,Manchester City,20,28,32
23/07/2019 22:35:53,Jones,Tottenham ,17,25,27
23/07/2019 22:36:27,Phil/Rich,Leicester City,3,13,16
23/07/2019 22:36:59,Phil/Rich,Arsenal,3,13,16
23/07/2019 22:43:57,Jones,Man U ,6,22,32
24/07/2019 00:48:21,Glencairn Athletic,Tottenham Hotspur,3,8.2,20.5
24/07/2019 00:49:25,Glencairn Athletic,Chelsea,3,8.2,16.4
24/07/2019 00:50:00,Glencairn Athletic,Arsenal,3,8.2,12.3
24/07/2019 07:57:30,Duncan Hall,Manchester City,12,27,36.4
24/07/2019 07:58:05,Duncan Hall,Leicester City,12.6,19.9,28.8
24/07/2019 07:58:45,Duncan Hall,Wolves,12.3,21.7,29.9
24/07/2019 12:16:07,Aidan,Everton,3.5,5,8
24/07/2019 12:18:14,Aidan,Man utd,5,8,12.5
24/07/2019 12:20:18,Aidan,Tottenham,4,8,13
